ts_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
3.189,3.8611,3.9644,0.9841,498.0,1.3206,2.1374
3.209,0.0356,0.074,1.0283,498.5649,10.3206,13.7328
3.229,3.7637,3.9453,0.9756,492.1145,495.1603,32.7939
3.249,3.8679,0.0085,0.9854,493.6794,498.2061,25.8779
3.269,3.6272,0.0166,0.9609,495.1985,498.5725,19.6336
3.289,3.4675,0.2878,0.9561,0.2061,4.0916,492.8092
3.309,3.5149,0.2922,0.9456,8.3511,11.5954,440.2596
3.329,3.7417,0.0989,0.9751,14.0763,12.5191,404.8397
3.349,3.8132,3.9182,0.9495,18.0382,19.0,385.4733
3.369,0.3542,3.5718,0.5249,25.1298,17.4504,356.0229
3.389,3.8682,3.7944,0.96,15.8321,29.1985,403.6489
3.409,3.6196,3.9678,0.9441,26.084,15.1527,335.2901
3.429,3.7803,0.084,0.947,40.4275,15.8244,260.8168
3.449,3.8511,0.0303,1.0974,40.3511,484.2596,250.1374
3.469,3.9194,3.9788,1.126,22.1908,2.2214,295.3588
3.489,3.8691,3.9509,1.1375,0.7176,15.8855,344.3817
3.509,0.073,3.8181,0.9204,486.9695,7.6794,318.3817
3.529,3.9473,3.9663,0.9443,14.7405,37.9695,348.1832
3.549,3.781,0.0007,0.9282,13.2901,20.2366,380.4504
3.569,3.6514,3.9941,0.9353,15.0687,24.0687,400.6641
3.589,3.762,3.8967,1.0239,23.0305,49.7099,421.3359
3.609,3.8052,3.9263,1.189,30.4962,121.5649,416.2596
3.629,3.9316,3.8818,1.0771,32.4809,175.0382,406.0
3.649,3.8962,3.9182,1.0227,19.1374,148.0458,401.7405
3.67,3.5605,3.8975,0.9824,3.0763,139.1603,424.8779
3.689,3.5959,3.9121,0.906,492.8931,126.2901,443.7328
3.709,3.5537,3.9182,0.8535,8.4351,140.626,450.9695
3.729,3.4958,3.8577,0.8892,36.5573,173.7939,440.5267
3.749,3.5222,3.9702,0.9033,50.7176,167.2901,430.6107
3.769,3.4492,0.0066,0.7817,46.3817,109.374,441.2366
3.789,3.2991,3.8909,0.6873,39.6947,138.6107,457.7328
3.809,3.1619,3.8792,0.5742,38.3817,164.7939,486.0229
3.829,3.1648,3.9529,0.6555,21.4504,194.7023,487.916
3.849,3.2637,3.9629,0.5803,4.1985,155.8702,499.7863
3.869,3.2058,3.9331,0.5291,7.229,102.7176,8.2748
3.889,3.1787,3.9553,0.5103,490.2061,81.5802,10.2824
3.909,3.1987,3.9089,0.4468,483.4504,90.8015,13.0382
3.929,3.127,3.9719,0.5381,482.7176,103.7939,17.9313
3.949,3.1489,3.9712,0.6064,476.1145,88.6107,35.4046
3.969,3.1101,3.9448,0.5969,480.2748,70.3206,42.3206
3.989,3.0696,3.9448,0.5022,0.9847,44.2366,53.4198
4.009,3.0176,3.9651,0.4478,13.3969,72.4962,46.5802
4.029,3.053,3.9988,0.3872,8.916,110.9924,40.1221
4.049,3.071,0.0212,0.4331,498.8626,138.6794,46.4504
4.069,3.1157,0.0676,0.3809,493.6794,120.6947,51.9084
4.089,3.0627,0.0427,0.3098,7.9695,102.5573,62.3511
4.109,3.0337,0.0549,0.2251,3.8473,113.7786,55.5954
4.129,3.0352,0.0999,0.2136,492.4886,140.5267,46.8015
4.149,3.0798,0.0913,0.2961,480.7557,131.313,41.3435
4.169,3.0266,0.1365,0.2666,484.3206,77.771,31.855
4.189,3.0093,0.1301,0.126,12.5954,91.4351,46.084
4.209,2.9482,0.1436,3.9958,41.9466,110.3206,56.1603
4.229,3.0391,0.1802,3.9558,18.5344,117.8626,49.2595
4.249,3.1333,0.1931,0.0,495.4886,83.313,43.2061
4.269,3.123,0.2449,0.0654,487.0687,9.3359,28.4046
4.289,3.2012,0.2275,3.9961,499.2825,429.7481,31.771
4.31,3.0374,0.2334,0.0139,14.4198,358.6183,23.1374
4.329,3.0186,0.2505,3.96,3.4656,326.313,13.9313
4.349,3.1062,0.2498,0.1106,490.2901,316.1527,15.6412
4.369,3.1655,0.2246,0.2866,469.458,262.1298,0.8015
4.389,3.2144,0.1824,0.2671,495.4656,250.1374,488.4809
4.409,3.1489,0.2476,0.2642,7.9618,250.1374,487.6336
4.429,3.2712,0.2068,0.5095,447.1069,250.1374,486.1451
4.449,3.3716,0.1033,0.7307,413.4275,250.1374,463.7939
4.469,3.3127,0.1157,0.8384,446.7634,250.1374,449.6031
4.489,3.3977,0.123,0.6792,493.9237,250.1374,462.5649
4.509,3.6987,0.0884,0.6768,498.0687,250.1374,468.2825
4.529,3.6426,0.106,0.9456,425.4962,250.1374,437.7557
4.549,3.5964,0.0098,1.0969,415.7252,250.1374,433.7328
4.569,3.7275,3.9937,0.9519,491.7634,250.1374,439.1679
4.589,3.802,0.062,0.9221,487.9389,250.1374,442.3283
4.609,3.8594,0.0344,1.0205,434.6107,250.1374,443.6565
4.629,3.8174,3.988,1.2432,424.0076,286.771,456.2443
4.649,3.9932,3.9465,1.1021,494.313,374.771,484.4886
4.669,0.1384,0.0076,0.9973,34.4962,411.9542,488.0
4.689,0.1423,0.0569,1.0,488.4656,384.0611,473.1908
4.709,0.125,0.0266,1.1013,459.5344,369.4199,475.771
4.729,0.1868,3.9912,1.0398,485.5573,414.6412,492.3817
4.749,0.2993,0.0137,0.925,20.374,476.9084,7.0382
4.769,0.3914,0.0215,0.9202,7.1908,1.2901,0.374
4.789,0.2861,0.0364,0.9768,486.8779,460.1527,487.1527
4.809,0.1814,0.0198,1.0264,471.0382,443.9389,492.687
4.829,0.2737,3.9819,1.0222,479.6947,459.5573,497.5191
4.849,0.303,3.9702,0.9695,8.1527,487.0229,3.4198
4.869,0.3271,0.0024,0.9255,11.2137,18.6183,2.9313
4.889,0.241,3.9861,0.929,1.7557,53.1374,4.3053
4.909,0.25,3.9492,0.9858,8.0305,69.1603,5.9542
4.929,0.1951,3.9929,0.9792,3.7786,76.9695,2.8779
4.95,0.1624,3.9946,0.989,16.7252,93.9466,3.9695
4.969,0.0889,3.9939,0.9941,17.4122,112.7023,5.9618
4.989,3.9893,0.0374,0.9644,14.771,163.2977,7.3359
5.009,0.0498,0.0369,0.9922,24.0458,183.145,18.8015
5.029,3.8794,0.0222,0.9924,11.458,190.6107,23.4733
5.049,3.8792,3.9958,1.1082,12.9847,233.542,30.2824
5.069,3.9189,0.0601,1.022,23.9084,250.1298,37.0992
5.089,3.7097,3.9941,0.949,39.9237,250.1298,43.4733
5.109,3.6433,0.103,0.9028,43.1298,250.1298,33.1985
5.129,3.5457,0.1179,0.853,21.8092,230.5496,28.8931
5.149,3.4502,0.106,0.9358,492.9695,218.3435,25.9924
5.169,3.4863,0.0986,0.8101,14.8779,194.2443,28.8015
5.189,3.4905,0.1516,0.7148,41.6031,141.0763,21.9466
5.209,3.4636,0.1731,0.6531,16.145,68.0992,2.7481
5.229,3.4724,0.1372,0.6484,485.3435,491.8092,482.0611
5.249,3.5066,0.1213,0.6809,479.8931,421.1451,463.1679
5.269,3.4497,0.1201,0.717,473.7786,332.6794,447.2138
5.289,3.355,0.0942,0.7271,449.7863,293.5038,441.4656
5.309,3.3667,0.1104,0.7075,457.6641,294.1527,450.8473
5.329,3.4749,0.0918,0.7581,462.3664,303.2825,465.2825
5.349,3.5837,0.0618,0.8914,429.5725,315.3435,470.3053
5.369,3.7498,3.9639,0.9504,427.3817,334.5573,471.7634
5.389,3.9048,3.9265,1.0071,448.9618,353.916,472.7557
5.409,3.9263,3.9604,0.9355,464.4809,371.4656,467.3283
5.429,3.8367,3.9102,0.9053,467.916,404.1221,472.458
5.449,3.7566,3.8779,1.186,432.6489,461.4733,478.1451
5.469,3.8083,3.8047,1.3125,371.0611,486.5115,483.2748
5.489,3.9348,3.7351,0.9749,402.1221,462.5191,468.5802
5.509,3.938,3.8162,0.7361,464.458,444.1221,463.7099
5.529,3.9077,3.7908,0.5818,13.0992,464.5191,499.0
5.549,3.9832,3.7849,0.6309,157.3664,7.4427,51.1221
5.569,3.7981,3.9666,1.4387,174.1374,63.771,64.5802
5.59,3.6885,3.9941,1.7595,62.9008,38.8015,51.3817
